0	很糟糕，是去过一次的朋友带我去的，因为那里的皇家SPA比较吸引人，结果这次的房间订的南楼，虽然已知比主楼的房间差，却没想到是那个样子，哪里是四星的。。。不如我家楼下的招待所。 很小的房，很小的床，1米宽，超硬，床上用品超不舒服，电视有个机顶盒却不超过20个台，21寸，很不清晰，没法看。房间极不隔音，总听到别人房间的开关门等声，最夸张的是，本来想去睡到自然醒，结果早上7点就起床了，只因我爸妈早起在我房门口走过，小声说了句，不要叫她了，肯定没醒。。。居然我就醒了，好像就在耳边有人说一样。。。 本来比较赞的还是SPA，结果做的第二天下午回广州路上开始，身上开始起疹子，我同去的那个朋友也是，现场还没好，而且全身都长，小小的中央带小水泡，奇痒无比，都不知道是过敏还是传染的皮炎，反正都不是好事。 最后只剩下一点，楼下就有泳池，比较方便，为了客观一点，还是要写出来。 千万千万不要去，去了像是上当，本来为了度假好心情，结果是又生气又生病。 补充点评 2008年8月16日 ： 哇，留意到前面有人是99的，那我可就损失大了，去的是南楼298的SPA套餐。
0	晚上没完没了的骚扰电话，让人真的不敢恭维 补充点评 2007年12月14日 ： 我打的都是1分，怎么平均出来是2分？莫名其妙
1	环境不错，房间很干净。服务人员素质很好，态度很不错，结帐时很快。 如果宾馆的人员能看到这个的话，建议餐卷可以重新印一下，早餐的时候我是被误导到4楼去了的。有点不爽。
0	这家如家实在是太差了，定了两个房间，一个还没有窗户，一个所谓的商务大床房，结果小的不能再小。希望大家入住以前一定要好好看看我们住过的人的评价，真的觉得很差，我也是因为打电话预定，没看到以前住过的朋友的评价才住进来的，入住的时候已经10点多了，结果还等了20分钟才办好check in，勉强住了一天，第二天一早就退房了。建议大家不要住。
0	在线预订大床房，携程网介绍过于简单，由于18：00后到达，信用卡担保，结果到达在发现是阁楼房，简直.....哎，只希望携程今后能够担负起推荐酒店的审查责任，否则携程会员就无法.......
1	说它不错是因为这本书上的习题与学校的教材同步。一年级的上学期孩子就想买这本书，当时感觉学校的作业量太大了，没必要再多作一些题。一年级的下学期作业开始减少，为了考试之前的复习，买了这套书。平时我们是不作的，只是在考试前作，这样可以检验孩子对知识的掌握程度，然后再针对掌握不扎实的知识点进行重点复习。
1	大品牌，而且在各项参数的对比下是最便宜的一款了。拿到手里发现外观也很不错，用起来没有什么问题。
1	房间很清洁，洗手间装修好。早餐非常丰盛，豆腐脑很好吃！交通很方便。 隔音不够好，我们的邻居夜里1点多电视声音开的很大，投诉后酒店服务人员去与隔壁邻居协商解决了。
1	我订的是430元的大床间，房间大小和设施都不错，卫生间里仅设淋浴房很实用，是我所欣赏的。早餐也还不错，中西都能兼顾。缺点：酒店餐厅晚8点就打烊，为了催还在就餐的客人就把灯熄了一半，暗暗的让人像在酒吧里吃饭，感觉这样的服务不够四星级；酒店没有停车场，停车就在大门口那一小块豆腐干似的地方，而且对住店客人也收费，不方便驾车族；酒店给了我们两个靠近电梯间的房间，一晚上电梯上下停靠的叮当声此起彼伏，让人无法入睡。我遇到过多次酒店给携程客人安排的房间相对不理想，但愿这次不是。 酒店对面以卖千张包出名的那个店家这次我因为日程紧没能去，下次一定要去尝尝。 下了高速在傍晚驶过南太湖大桥，黄昏的日光和着新亮起的灯光，浸染了大桥和沿途的新城区，很漂亮。第一次去湖州虽然匆忙但留下了极好的印象，计划下次去度假，还会入住国际（希望下次电梯铃声有改进），不过在湖州消费不比上海，携程这个房价不是很有竞争力。关于近年携程的房价没有竞争力已是众口微词，携程相当于旅行社，应该可以拿到比散客好得多的价格，在这方面是否应该对众多忠实用户有所回应？
0	评论这么热，以为这是好书，结果可以说就是本闲书，没什么内容，空空的，泛泛的……百花了我的银子！想了解中医不能看这种书！啥也没写！
0	1 发热还是有点大,特别是右手边 2 2G内存运行VISTA还是有些慢 3 换系统比较麻烦 4 有点沉 5 分区不合理 6 无线网卡没有n，拷贝文件有点慢 7 没送包和鼠标
0	酒店比较旧，不符合四星标准，出行不是很方便。
